Sample,Population,Temperature,pH,Date,Replicate, Length ,Weight,
SN-6-1,SN,6,Pre-pH,2/4/17,NA, 31.1 , 6.3 ,
SN-6-2,SN,6,Pre-pH,2/4/17,NA, 33.9 , 7.8 ,
SN-6-3,SN,6,Pre-pH,2/4/17,NA, 37.4 , 11.0 ,
SN-6-4,SN,6,Pre-pH,2/4/17,NA, 33.1 , 8.6 ,
SN-6-5,SN,6,Pre-pH,2/4/17,NA, 35.0 , 8.8 ,
SN-6-6,SN,6,Pre-pH,2/4/17,NA, 31.2 , 7.2 ,
SN-6-7,SN,6,Pre-pH,2/4/17,NA, 31.9 , 5.4 ,
SN-6-8,SN,6,Pre-pH,2/4/17,NA, 30.4 , 4.9 ,
SN-6-9,SN,6,Pre-pH,2/4/17,NA, 40.4 , 10.8 ,
SN-6-10,SN,6,Pre-pH,2/4/17,NA, 34.3 , 8.7 ,
SN-6-11,SN,6,Pre-pH,2/4/17,NA, 31.1 , 7.3 ,
SN-6-12,SN,6,Pre-pH,2/4/17,NA, 29.2 , 5.3 ,
SN-6-13,SN,6,Pre-pH,2/4/17,NA, 33.3 , 6.3 ,
SN-6-14,SN,6,Pre-pH,2/4/17,NA, 26.5 , 4.5 ,
SN-6-15,SN,6,Pre-pH,2/4/17,NA, 27.1 , 4.7 ,
SN-10-1,SN,10,Pre-pH,2/4/17,NA, 27.9 , 6.4 ,
SN-10-2,SN,10,Pre-pH,2/4/17,NA, 30.5 , 6.0 ,
SN-10-3,SN,10,Pre-pH,2/4/17,NA, 38.1 , 9.1 ,
SN-10-4,SN,10,Pre-pH,2/4/17,NA, 37.5 , 11.1 ,
SN-10-5,SN,10,Pre-pH,2/4/17,NA, 34.4 , 8.1 ,
SN-10-6,SN,10,Pre-pH,2/4/17,NA, 34.8 , 10.0 ,
SN-10-7,SN,10,Pre-pH,2/4/17,NA, 36.0 , 10.6 ,
SN-10-8,SN,10,Pre-pH,2/4/17,NA, 40.4 , 10.7 ,
SN-10-9,SN,10,Pre-pH,2/4/17,NA, 37.4 , 7.9 ,
SN-10-10,SN,10,Pre-pH,2/4/17,NA, 26.5 , 7.1 ,
SN-10-11,SN,10,Pre-pH,2/4/17,NA, 39.9 , 5.9 ,
SN-10-12,SN,10,Pre-pH,2/4/17,NA, 30.5 , 7.2 ,
SN-10-13,SN,10,Pre-pH,2/4/17,NA, 31.4 , 7.0 ,
SN-10-14,SN,10,Pre-pH,2/4/17,NA, 26.5 , 5.1 ,
SN-10-15,SN,10,Pre-pH,2/4/17,NA, 26.5 , 4.9 ,
NF-6-1,NF,6,Pre-pH,2/4/17,NA, 29.1 , 4.7 ,
NF-6-2,NF,6,Pre-pH,2/4/17,NA, 36.1 , 7.6 ,
NF-6-3,NF,6,Pre-pH,2/4/17,NA, 27.5 , 5.3 ,
NF-6-4,NF,6,Pre-pH,2/4/17,NA, 38.5 , 7.1 ,
NF-6-5,NF,6,Pre-pH,2/4/17,NA, 34.1 , 7.8 ,
NF-6-6,NF,6,Pre-pH,2/4/17,NA, 39.6 , 7.1 ,
NF-6-7,NF,6,Pre-pH,2/4/17,NA, 29.0 , 5.6 ,
NF-6-8,NF,6,Pre-pH,2/4/17,NA, 38.4 , 10.4 ,
NF-6-9,NF,6,Pre-pH,2/4/17,NA, 38.4 , 7.6 ,
NF-6-10,NF,6,Pre-pH,2/4/17,NA, 25.1 , 2.9 ,
NF-6-11,NF,6,Pre-pH,2/4/17,NA, 36.5 , 8.5 ,
NF-6-12,NF,6,Pre-pH,2/4/17,NA, 24.5 , 3.3 ,
NF-6-13,NF,6,Pre-pH,2/4/17,NA, 37.4 , 8.4 ,
NF-6-14,NF,6,Pre-pH,2/4/17,NA, 40.0 , 9.1 ,
NF-6-15,NF,6,Pre-pH,2/4/17,NA, 28.4 , 5.9 ,
NF-10-1,NF,10,Pre-pH,2/4/17,NA, 30.6 , 5.7 ,
NF-10-2,NF,10,Pre-pH,2/4/17,NA, 33.5 , 8.4 ,
NF-10-3,NF,10,Pre-pH,2/4/17,NA, 25.6 , 3.5 ,
NF-10-4,NF,10,Pre-pH,2/4/17,NA, 33.4 , 8.6 ,
NF-10-5,NF,10,Pre-pH,2/4/17,NA, 36.4 , 9.5 ,
NF-10-6,NF,10,Pre-pH,2/4/17,NA, 35.5 , 8.6 ,
NF-10-7,NF,10,Pre-pH,2/4/17,NA, 42.2 , 8.7 ,
NF-10-8,NF,10,Pre-pH,2/4/17,NA, 22.0 , 3.4 ,
NF-10-9,NF,10,Pre-pH,2/4/17,NA, 35.3 , 5.2 ,
NF-10-10,NF,10,Pre-pH,2/4/17,NA, 34.1 , 5.6 ,
NF-10-11,NF,10,Pre-pH,2/4/17,NA, 25.4 , 4.2 ,
NF-10-12,NF,10,Pre-pH,2/4/17,NA, 30.5 , 9.4 ,
NF-10-13,NF,10,Pre-pH,2/4/17,NA, 37.1 , 9.3 ,
NF-10-14,NF,10,Pre-pH,2/4/17,NA, 37.1 , 8.3 ,
NF-10-15,NF,10,Pre-pH,2/4/17,NA, 29.0 , 5.4 ,
HL-6-1,HL,6,Pre-pH,2/4/17,NA, 26.1 , 6.7 ,
HL-6-2,HL,6,Pre-pH,2/4/17,NA, 21.7 , 2.0 ,
HL-6-3,HL,6,Pre-pH,2/4/17,NA, 20.3 , 2.6 ,
HL-6-4,HL,6,Pre-pH,2/4/17,NA, 25.6 , 3.2 ,
HL-6-5,HL,6,Pre-pH,2/4/17,NA, 30.4 , 4.3 ,
HL-6-6,HL,6,Pre-pH,2/4/17,NA, 36.5 , 8.6 ,
HL-6-7,HL,6,Pre-pH,2/4/17,NA, 28.9 , 4.7 ,
HL-6-8,HL,6,Pre-pH,2/4/17,NA, 29.5 , 4.1 ,
HL-6-9,HL,6,Pre-pH,2/4/17,NA, 35.0 , 6.9 ,
HL-10-1,HL,10,Pre-pH,2/4/17,NA, 27.0 , 5.8 ,
HL-10-2,HL,10,Pre-pH,2/4/17,NA, 24.2 , 4.4 ,
HL-10-3,HL,10,Pre-pH,2/4/17,NA, 30.5 , 5.8 ,
HL-10-4,HL,10,Pre-pH,2/4/17,NA, 34.9 , 8.5 ,
HL-10-5,HL,10,Pre-pH,2/4/17,NA, 32.0 , 5.8 ,
HL-10-6,HL,10,Pre-pH,2/4/17,NA, 28.0 , 3.9 ,
HL-10-7,HL,10,Pre-pH,2/4/17,NA, 34.7 , 6.6 ,
HL-10-8,HL,10,Pre-pH,2/4/17,NA, 34.1 , 7.2 ,
HL-10-9,HL,10,Pre-pH,2/4/17,NA, 31.0 , 5.5 ,
K-6-1,K,6,Pre-pH,2/11/17,NA, 20.0 , 1.5 ,
K-6-2,K,6,Pre-pH,2/11/17,NA, 29.5 , 2.8 ,
K-6-3,K,6,Pre-pH,2/11/17,NA, 18.3 , 1.6 ,
K-6-4,K,6,Pre-pH,2/11/17,NA, 21.2 , 1.2 ,
K-6-5,K,6,Pre-pH,2/11/17,NA, 24.3 , 2.6 ,
K-6-6,K,6,Pre-pH,2/11/17,NA, 28.3 , 2.7 ,
K-6-7,K,6,Pre-pH,2/11/17,NA, 20.0 , 1.2 ,
K-6-8,K,6,Pre-pH,2/11/17,NA, 20.1 , 1.1 ,
K-6-9,K,6,Pre-pH,2/11/17,NA, 16.8 , 0.6 ,
K-6-10,K,6,Pre-pH,2/11/17,NA, 21.8 , 1.3 ,
K-6-11,K,6,Pre-pH,2/11/17,NA, 23.7 , 1.9 ,
K-6-12,K,6,Pre-pH,2/11/17,NA, 27.5 , 3.0 ,
K-6-13,K,6,Pre-pH,2/11/17,NA, 21.6 , 1.6 ,
K-6-14,K,6,Pre-pH,2/11/17,NA, 24.1 , 1.4 ,
K-6-15,K,6,Pre-pH,2/11/17,NA, 22.5 , 1.5 ,
K-10-1,K,10,Pre-pH,2/11/17,NA, 23.8 , 2.1 ,
K-10-2,K,10,Pre-pH,2/11/17,NA, 21.5 , 1.8 ,
K-10-3,K,10,Pre-pH,2/11/17,NA, 24.6 , 2.6 ,
K-10-4,K,10,Pre-pH,2/11/17,NA, 17.7 , 1.3 ,
K-10-5,K,10,Pre-pH,2/11/17,NA, 16.9 , 0.6 ,
K-10-6,K,10,Pre-pH,2/11/17,NA, 19.5 , 1.0 ,
K-10-7,K,10,Pre-pH,2/11/17,NA, 19.9 , 1.6 ,
K-10-8,K,10,Pre-pH,2/11/17,NA, 19.5 , 1.5 ,
K-10-9,K,10,Pre-pH,2/11/17,NA, 21.5 , 1.3 ,
K-10-10,K,10,Pre-pH,2/11/17,NA, 22.5 , 1.9 ,
K-10-11,K,10,Pre-pH,2/11/17,NA, 18.7 , 1.2 ,
K-10-12,K,10,Pre-pH,2/11/17,NA, 18.6 , 1.3 ,
K-10-13,K,10,Pre-pH,2/11/17,NA, 26.5 , 2.3 ,
K-10-14,K,10,Pre-pH,2/11/17,NA, 25.0 , 1.9 ,
K-10-15,K,10,Pre-pH,2/11/17,NA, 21.3 , 1.3 ,
SN-6-16,SN,6,Low,4/8/17,A, 42.0 , 12.8 ,
SN-6-17,SN,6,Low,4/8/17,A, 39.0 , 10.1 ,
SN-6-18,SN,6,Low,4/8/17,A, 28.0 , 4.7 ,
SN-6-19,SN,6,Low,4/8/17,B, 35.0 , 7.4 ,
SN-6-20,SN,6,Low,4/8/17,B, 30.0 , 7.3 ,
SN-6-21,SN,6,Low,4/8/17,B, 40.0 , 8.3 ,
SN-6-22,SN,6,Low,4/8/17,C, 39.0 , 11.2 ,
SN-6-23,SN,6,Low,4/8/17,C, 33.0 , 6.7 ,
SN-6-24,SN,6,Low,4/8/17,C, 31.0 , 10.4 ,
SN-6-25,SN,6,Ambient,4/8/17,A, 42.0 , 9.7 ,
SN-6-26,SN,6,Ambient,4/8/17,A, 32.5 , 5.6 ,
SN-6-27,SN,6,Ambient,4/8/17,A, 32.0 , 5.7 ,
SN-6-28,SN,6,Ambient,4/8/17,B, 35.0 , 6.3 ,
SN-6-29,SN,6,Ambient,4/8/17,B, 37.5 , 10.0 ,
SN-6-30,SN,6,Ambient,4/8/17,B, 32.0 , 6.4 ,
SN-6-31,SN,6,Ambient,4/8/17,C, 39.5 , 8.9 ,
SN-6-32,SN,6,Ambient,4/8/17,C, 44.0 , 12.5 ,
SN-6-33,SN,6,Ambient,4/8/17,C, 39.0 , 12.3 ,
SN-10-16,SN,10,Low,4/8/17,A, 35.0 , 7.0 ,
SN-10-17,SN,10,Low,4/8/17,A, 36.0 , 10.0 ,
SN-10-18,SN,10,Low,4/8/17,A, 31.0 , 5.6 ,
SN-10-19,SN,10,Low,4/8/17,B, 32.0 , 9.1 ,
SN-10-20,SN,10,Low,4/8/17,B, 30.0 , 4.7 ,
SN-10-21,SN,10,Low,4/8/17,B, 33.0 , 8.6 ,
SN-10-22,SN,10,Low,4/8/17,C, 34.0 , 7.6 ,
SN-10-23,SN,10,Low,4/8/17,C, 40.0 , 10.0 ,
SN-10-24,SN,10,Low,4/8/17,C, 32.0 , 9.1 ,
SN-10-25,SN,10,Ambient,4/8/17,A, 39.0 , 7.7 ,
SN-10-26,SN,10,Ambient,4/8/17,A, 26.0 , 3.6 ,
SN-10-27,SN,10,Ambient,4/8/17,A, 35.0 , 7.0 ,
SN-10-28,SN,10,Ambient,4/8/17,B, 42.0 , 7.7 ,
SN-10-29,SN,10,Ambient,4/8/17,B, 41.0 , 7.9 ,
SN-10-30,SN,10,Ambient,4/8/17,B, 39.1 , 7.9 ,
SN-10-31,SN,10,Ambient,4/8/17,C, 34.0 , 5.9 ,
SN-10-32,SN,10,Ambient,4/8/17,C, 41.0 , 8.5 ,
SN-10-33,SN,10,Ambient,4/8/17,C, 36.0 , 8.8 ,
NF-6-16,NF,6,Low,4/8/17,A, 42.0 , 9.1 ,
NF-6-17,NF,6,Low,4/8/17,A, 36.0 , 4.0 ,
NF-6-18,NF,6,Low,4/8/17,A, 26.0 , 3.5 ,
NF-6-19,NF,6,Low,4/8/17,B, 34.0 , 6.1 ,
NF-6-20,NF,6,Low,4/8/17,B, 46.0 , 13.0 ,
NF-6-21,NF,6,Low,4/8/17,B, 33.0 , 5.0 ,
NF-6-22,NF,6,Low,4/8/17,C, 38.0 , 9.7 ,
NF-6-23,NF,6,Low,4/8/17,C, 33.0 , 5.6 ,
NF-6-24,NF,6,Low,4/8/17,C, 35.0 , 6.6 ,
NF-6-25,NF,6,Ambient,4/8/17,A, 34.0 , 6.9 ,
NF-6-26,NF,6,Ambient,4/8/17,A, 37.0 , 6.3 ,
NF-6-27,NF,6,Ambient,4/8/17,A, 37.0 , 6.8 ,
NF-6-28,NF,6,Ambient,4/8/17,B, 29.5 , 5.3 ,
NF-6-29,NF,6,Ambient,4/8/17,B, 35.0 , 7.3 ,
NF-6-30,NF,6,Ambient,4/8/17,B, 38.0 , 7.0 ,
NF-6-31,NF,6,Ambient,4/8/17,C, 28.0 , 2.9 ,
NF-6-32,NF,6,Ambient,4/8/17,C, 35.5 , 5.9 ,
NF-6-33,NF,6,Ambient,4/8/17,C, 38.5 , 10.3 ,
NF-10-16,NF,10,Low,4/8/17,A, 38.0 , 4.9 ,
NF-10-17,NF,10,Low,4/8/17,A, 31.0 , 4.7 ,
NF-10-18,NF,10,Low,4/8/17,A, 34.0 , 5.1 ,
NF-10-19,NF,10,Low,4/8/17,B, 37.0 , 7.8 ,
NF-10-20,NF,10,Low,4/8/17,B, 35.0 , 7.1 ,
NF-10-21,NF,10,Low,4/8/17,B, 34.0 , 7.7 ,
NF-10-22,NF,10,Low,4/8/17,C, 32.0 , 7.0 ,
NF-10-23,NF,10,Low,4/8/17,C, 40.0 , 12.2 ,
NF-10-24,NF,10,Low,4/8/17,C, 33.0 , 5.6 ,
NF-10-25,NF,10,Ambient,4/8/17,A, 34.5 , 5.8 ,
NF-10-26,NF,10,Ambient,4/8/17,A, 39.0 , 7.0 ,
NF-10-27,NF,10,Ambient,4/8/17,A, 30.1 , 3.8 ,
NF-10-28,NF,10,Ambient,4/8/17,B, 39.1 , 8.7 ,
NF-10-29,NF,10,Ambient,4/8/17,B, 30.5 , 5.8 ,
NF-10-30,NF,10,Ambient,4/8/17,B, 43.0 , 12.4 ,
NF-10-31,NF,10,Ambient,4/8/17,C, 43.0 , 12.8 ,
NF-10-32,NF,10,Ambient,4/8/17,C, 39.0 , 8.3 ,
NF-10-33,NF,10,Ambient,4/8/17,C, 39.0 , 7.3 ,
HL-6-10,HL,6,Low,4/8/17,A, 37.0 , 8.3 ,
HL-6-11,HL,6,Low,4/8/17,A, 25.0 , 2.7 ,
HL-6-12,HL,6,Low,4/8/17,B, 35.0 , 8.1 ,
HL-6-13,HL,6,Low,4/8/17,B, 26.0 , 3.5 ,
HL-6-14,HL,6,Low,4/8/17,C, 27.0 , 5.2 ,
HL-6-15,HL,6,Low,4/8/17,C, 35.0 , 6.6 ,
HL-6-16,HL,6,Ambient,4/8/17,A, 27.5 , 3.8 ,
HL-6-17,HL,6,Ambient,4/8/17,A, 31.9 , 7.5 ,
HL-6-18,HL,6,Ambient,4/8/17,B, 27.1 , 4.1 ,
HL-6-19,HL,6,Ambient,4/8/17,B, 24.9 , 2.7 ,
HL-6-20,HL,6,Ambient,4/8/17,C, 30.6 , 5.6 ,
HL-6-21,HL,6,Ambient,4/8/17,C, 37.1 , 7.5 ,
HL-10-10,HL,10,Low,4/8/17,A, 27.5 , 4.4 ,
HL-10-11,HL,10,Low,4/8/17,A, 27.5 , 3.6 ,
HL-10-12,HL,10,Low,4/8/17,B, 35.0 , 6.8 ,
HL-10-13,HL,10,Low,4/8/17,B, 29.5 , 3.7 ,
HL-10-14,HL,10,Low,4/8/17,C, 25.0 , 2.5 ,
HL-10-15,HL,10,Low,4/8/17,C, 32.0 , 7.7 ,
HL-10-16,HL,10,Ambient,4/8/17,A, 30.5 , 6.3 ,
HL-10-17,HL,10,Ambient,4/8/17,A, 31.2 , 5.9 ,
HL-10-18,HL,10,Ambient,4/8/17,B, 27.1 , 3.1 ,
HL-10-19,HL,10,Ambient,4/8/17,B, 31.0 , 4.7 ,
HL-10-20,HL,10,Ambient,4/8/17,C, 24.9 , 2.8 ,
HL-10-21,HL,10,Ambient,4/8/17,C, 31.0 , 6.5 ,
K-6-16,K,6,Low,4/13/18,A, 21.0 ,1.3,
K-6-17,K,6,Low,4/13/18,A, 18.5 ,1.1,
K-6-18,K,6,Low,4/13/18,A, 18.0 ,0,
K-6-19,K,6,Low,4/13/18,A, 31.0 ,2.5,
K-6-20,K,6,Low,4/13/18,A, 18.0 ,0.8,
K-6-21,K,6,Low,4/13/18,B, 23.0 ,1.9,
K-6-22,K,6,Low,4/13/18,B, 19.5 ,1,
K-6-23,K,6,Low,4/13/18,B, 20.0 ,1.2,
K-6-24,K,6,Low,4/13/18,B, 17.5 ,0.5,
K-6-25,K,6,Low,4/13/18,B, 21.0 ,0.8,
K-6-26,K,6,Low,4/13/18,C, 24.0 ,2.3,
K-6-27,K,6,Low,4/13/18,C, 20.5 ,1.3,
K-6-28,K,6,Low,4/13/18,C, 26.0 ,1.6,
K-6-29,K,6,Low,4/13/18,C, 18.5 ,1,
K-6-30,K,6,Low,4/13/18,C, 18.5 ,0.7,
K-6-31,K,6,Ambient,4/13/18,A, 24.5 ,2.4,
K-6-32,K,6,Ambient,4/13/18,A, 21.0 ,0.9,
K-6-33,K,6,Ambient,4/13/18,A, 22.0 ,1.9,
K-6-34,K,6,Ambient,4/13/18,A, 20.0 ,1.4,
K-6-35,K,6,Ambient,4/13/18,A, 25.0 ,2.2,
K-6-36,K,6,Ambient,4/13/18,B, 21.0 ,1.2,
K-6-37,K,6,Ambient,4/13/18,B, 27.0 ,2.8,
K-6-38,K,6,Ambient,4/13/18,B, 18.0 ,1.2,
K-6-39,K,6,Ambient,4/13/18,B, 20.0 ,0.9,
K-6-40,K,6,Ambient,4/13/18,B, 10.0 ,0.3,
K-6-41,K,6,Ambient,4/13/18,C, 25.0 ,2.1,
K-6-42,K,6,Ambient,4/13/18,C, 19.5 ,1.4,
K-6-43,K,6,Ambient,4/13/18,C, 23.5 ,1.4,
K-6-44,K,6,Ambient,4/13/18,C, 20.5 ,1.4,
K-6-45,K,6,Ambient,4/13/18,C, 25.0 ,1.7,
K-10-16,K,10,Low,4/13/18,A, 21.0 ,1,
K-10-17,K,10,Low,4/13/18,A, 11.0 ,0.4,
K-10-18,K,10,Low,4/13/18,A, 18.0 ,1.1,
K-10-19,K,10,Low,4/13/18,A, 20.0 ,0.9,
K-10-20,K,10,Low,4/13/18,A, 12.0 ,0.3,
K-10-21,K,10,Low,4/13/18,B, 21.5 ,1.8,
K-10-22,K,10,Low,4/13/18,B, 15.0 ,0.5,
K-10-23,K,10,Low,4/13/18,B, 23.5 ,1.5,
K-10-24,K,10,Low,4/13/18,B, 15.0 ,0.6,
K-10-25,K,10,Low,4/13/18,B, 21.5 ,1.6,
K-10-26,K,10,Low,4/13/18,C, 23.0 ,1.8,
K-10-27,K,10,Low,4/13/18,C, 12.0 ,0.9,
K-10-28,K,10,Low,4/13/18,C, 24.0 ,1.3,
K-10-29,K,10,Low,4/13/18,C, 20.0 ,1.2,
K-10-30,K,10,Low,4/13/18,C, 15.5 ,0.6,
K-10-31,K,10,Ambient,4/13/18,A, 10.0 ,0.6,
K-10-32,K,10,Ambient,4/13/18,A, 27.0 ,2.4,
K-10-33,K,10,Ambient,4/13/18,A, 27.0 ,2.9,
K-10-34,K,10,Ambient,4/13/18,A, 23.5 ,1.3,
K-10-35,K,10,Ambient,4/13/18,A, 13.0 ,0.4,
K-10-36,K,10,Ambient,4/13/18,B, 20.5 ,2.1,
K-10-37,K,10,Ambient,4/13/18,B, 23.5 ,1.1,
K-10-38,K,10,Ambient,4/13/18,B, 20.0 ,0.8,
K-10-39,K,10,Ambient,4/13/18,B, 12.5 ,0.6,
K-10-40,K,10,Ambient,4/13/18,B, 21.0 ,1.6,
K-10-41,K,10,Ambient,4/13/18,C, 19.5 ,1,
K-10-42,K,10,Ambient,4/13/18,C, 20.5 ,1.1,
K-10-43,K,10,Ambient,4/13/18,C, 24.0 ,1.3,
K-10-44,K,10,Ambient,4/13/18,C, 12.5 ,1,
K-10-45,K,10,Ambient,4/13/18,C, 12.5 ,1.1,